CaseID;Prefix length;Groud truth;Predicted;Levenshtein;Damerau_Levenshtein;Jaccard;Ground truth times;Predicted times;MAE;MAE_days
1-659239126;2;¤;¥§¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;6756908;23137537,790946987;16380629,790946987;189,59062258040493
1-659716213;2;¤;§¤;0,5;0,5;0,5;184;11207347,626807671;11207163,626807671;129,71254197694063
1-659718901;2;¥¥¤;¢¥¡¥¤;0,6;0,6;0,5;7858237;35324639,19399966;27466402,193999663;317,89817354166274
1-659922661;2;¥§¥¤;¥¡¥¤;0,75;0,75;0,5;3036348;52399957,59939396;49363609,59939396;571,3380740670597
1-659934601;2;§¤;¤;0,5;0,5;0,5;4655093;3647695,4146519275;1007397,5853480725;11,65969427486195
1-660268091;2;¥¡¥¤¥¢¥¤¥¤;¥¡¥¤;0,4;0,4;0,75;2339362;25125138,943367377;22785776,943367377;263,72427017786316
1-660374694;2;¥¤;¢¥¡¥¤;0,4;0,4;0,5;7923481;37054303,07872505;29130822,078725047;337,1622925778362
1-660393401;2;¤;¤;1,0;1,0;1,0;590413;11747775,013457982;11157362,013457982;129,13613441502295
1-660509893;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;3069417;54600319,74127517;51530902,74127517;596,4224854314256
1-660636558;2;¢¥¤;¢¥¡¥¡¥¢¥¡¥¤;0,2727272727272727;0,2727272727272727;0,75;2846121;87497290,23784637;84651169,23784637;979,7589032158145
1-660648920;2;¢¥¥¢¥§¤;¤;0,1428571428571429;0,1428571428571429;0,25;6666678;8948864,937520193;2282186,937520193;26,414200665742975
1-660786538;2;¤;¤;1,0;1,0;1,0;5441352;8312378,999546545;2871026,9995465446;33,22947916141834
1-660903884;2;¤;¤;1,0;1,0;1,0;11;1726091,7561203882;1726080,7561203882;19,97778652917116
1-661134924;2;¥¥¤;¥¡¥¤;0,75;0,75;0,6666666666666666;1937935;48605932,18011875;46667997,18011875;540,1388562513744
1-661184751;2;§¥¢¥¤;¥§¤;0,4;0,4;0,75;5379230;20290192,800775122;14910962,800775122;172,58058797193428
1-661706786;2;¤;¤;1,0;1,0;1,0;6537136;10201790,95520807;3664654,9552080706;42,414987907500816
1-662272981;2;¤;¤;1,0;1,0;1,0;777343;9434177,502144838;8656834,502144838;100,1948437748245
1-663582660;2;¥¢¥¤;¥§¤;0,5;0,5;0,5;87253;10028671,381733509;9941418,381733509;115,06271275154523
1-663749238;2;¤;¤;1,0;1,0;1,0;1551305;7885876,420664031;6334571,420664031;73,31679885027813
1-663891165;2;¥§¤;¥§¤;1,0;1,0;1,0;3292134;16561018,26544951;13268884,26544951;153,5750493686286
1-664730121;2;¤;¤;1,0;1,0;1,0;621307;8676849,060483143;8055542,060483143;93,23544051485119
1-669119156;2;¥§¢¥¡¡¤;¤;0,1428571428571429;0,1428571428571429;0,19999999999999996;1968731;7431174,476439936;5462443,476439936;63,22272542175852
1-670754761;2;¢¡¥¥¥¤¥¤¥¤;¤;0,09999999999999998;0,09999999999999998;0,25;3815124;9115673,9232585;5300549,9232585;61,34895744512153
1-671933304;2;¤;¤;1,0;1,0;1,0;4584747;10927695,045370545;6342948,045370545;73,41375052512205
1-672299434;2;¤;¢¥¡¥¤;0,19999999999999996;0,19999999999999996;0,25;3752001;36082449,65354753;32330448,653547533;374,1950075642076
1-672506739;2;¢¥¢¥¤;¤;0,19999999999999996;0,19999999999999996;0,33333333333333326;4919149;8491034,692920389;3571885,6929203887;41,34126959398598
1-672740630;2;¤;¢¥¡¥¤;0,19999999999999996;0,19999999999999996;0,25;1814645;32132188,752885748;30317543,752885748;350,89749713988135
