CaseID;Prefix length;Groud truth;Predicted;Levenshtein;Damerau_Levenshtein;Jaccard;Ground truth times;Predicted times;MAE;MAE_days
1-659239126;2;¤;¥¤;0,5;0,5;0,5;6756908;8188855,305875362;1431947,305875362;16,573464188372245
1-659716213;2;¤;¢¥¢¥¤;0,19999999999999996;0,19999999999999996;0,33333333333333326;184;7673578,369598162;7673394,369598162;88,81243483331207
1-659718901;2;¥¥¤;¡¥¤;0,6666666666666667;0,6666666666666667;0,6666666666666666;7858237;5818146,558376947;2040090,4416230526;23,6121578891557
1-659922661;2;¥§¥¤;¥¡¥¤;0,75;0,75;0,5;3036348;11424776,834037723;8388428,834037723;97,08829669025143
1-659934601;2;§¤;§¤;1,0;1,0;1,0;4655093;14373695,084684812;9718602,084684812;112,48382042459272
1-660268091;2;¥¡¥¤¥¢¥¤¥¤;¥¡¥¤;0,4;0,4;0,75;2339362;12193030,40096431;9853668,40096431;114,04708797412397
1-660374694;2;¥¤;¡¥¤;0,6666666666666667;0,6666666666666667;0,6666666666666666;7923481;5927835,964486873;1995645,0355131272;23,097743466587122
1-660393401;2;¤;¤;1,0;1,0;1,0;590413;10127578,482692966;9537165,482692966;110,38385975339081
1-660509893;2;¥¤;¥¡¥¤;0,5;0,5;0,6666666666666666;3069417;12349683,207878523;9280266,207878523;107,41048851711253
1-660636558;2;¢¥¤;¤;0,33333333333333337;0,33333333333333337;0,33333333333333326;2846121;1924616,1322852443;921504,8677147557;10,665565598550414
1-660648920;2;¢¥¥¢¥§¤;¤;0,1428571428571429;0,1428571428571429;0,25;6666678;10015246,290977752;3348568,290977752;38,756577441872125
1-660786538;2;¤;¤;1,0;1,0;1,0;5441352;10261055,903995117;4819703,903995117;55,78360999994349
1-660903884;2;¤;¤;1,0;1,0;1,0;11;1428614,6354543536;1428603,6354543536;16,534764299240205
1-661134924;2;¥¥¤;¥¡¥¤;0,75;0,75;0,6666666666666666;1937935;10870229,764992692;8932294,764992692;103,38304126148948
1-661184751;2;§¥¢¥¤;¥¤;0,4;0,4;0,5;5379230;9096960,07115215;3717730,0711521506;43,02928323092767
1-661706786;2;¤;¤;1,0;1,0;1,0;6537136;10999992,452296378;4462856,452296378;51,65343116083771
1-662272981;2;¤;¤;1,0;1,0;1,0;777343;9489097,971025107;8711754,971025107;100,83049734982764
1-663582660;2;¥¢¥¤;¥¡¥¤;0,75;0,75;0,5;87253;11970601,569496756;11883348,569496756;137,53875659139766
1-663749238;2;¤;¤;1,0;1,0;1,0;1551305;10911577,476443913;9360272,476443913;108,33648699587862
1-663891165;2;¥§¤;¥¤;0,6666666666666667;0,6666666666666667;0,6666666666666666;3292134;8479839,26463825;5187705,264638251;60,04288500738716
1-664730121;2;¤;¤;1,0;1,0;1,0;621307;11017099,455417776;10395792,455417776;120,32167193770574
