CaseID;Activities;activities_similar
10004;1391071391071390713906511;False
10037;139010713902;False
10067;17171712;False
10143;1739073906511;False
10148;13978713906511;False
10158;1397139713910713906511;False
10176;139065713902;False
10202;139010713906107139010713906511;False
10321;1371391071390654;False
10322;1739067139073906511;False
10323;173907390657139010713906511;False
10332;139071397137171390107139713906511;False
10348;171397139107139713906511;False
1035;1371390671713906511;False
10356;1713910717171713906511;False
1047;139713907139062;False
105;13971397139713906511;False
10516;1713906713906511;False
10524;1397137139010713906511;False
10535;17139107139713910713906511;False
10569;1391071391071391072;False
10582;1391071391071390108713906511;False
10608;139107139108713901082;False
10636;13971391072;False
10654;13901071391071390108713906713906511;False
10720;1713713910713906511;False
1073;13907139010713906511;False
10852;139713907139713906511;False
10869;17139010713910713906511;False
10963;1390713971390654;False
10971;173973973906713906511;False
10994;171391071391071390654;False
10995;1391071390107139108713906511;False
1100;13901071397139713906511;False
11016;1391071390713907139107139108713906511;False
11046;1713713901071390713906511;False
11048;173973973906511;False
11060;139081071390713906511;False
11061;13910713910713910872;False
11065;1391071391071391087139713906511;False
11210;1390739739073973973973973973973973906511;False
11231;13910712;False
11248;1391071391071391087139713906511;False
11252;1390713901071390713906511;False
11277;139107131071391087139108713906511;False
11308;171390107139010713906511;False
11364;13907139107139713910713713906511;False
11401;139107139010713906511;False
11402;1390107139071390617397139713906511;False
11407;139071391071390713906511;False
11441;13910713910713910871391087139108713910871372;False
11443;139107139107139107139108713906511;False
11445;139107139107139107139010872;False
11469;1391071391071390713906511;False
11488;13907132;False
11522;139107139713910713907139108713910871390654;False
11548;13910713910713108713906511;False
11569;1391071390713910713910713910871390654;False
11570;13901071391071392;False
11625;1371390610713906511;False
11692;139107139071390713906511;False
11733;13906571717171390654;False
11738;139072;False
11747;139107139010713906511;False
11886;13910713906572;False
11921;1390107137139071390107139107139108713906511;False
11966;17171392;False
11980;139010713910713910713713906511;False
12013;131071390654;False
12020;1397171390713906511;False
12022;139061071390713906511;False
12028;1390810713910713910713910871397139713906511;False
12041;139107139107139107139108713906511;False
12062;1390717171390713906511;False
12097;171310713906511;False
12098;13901071397139713906511;False
12111;1391071391071390713906511;False
1212;13907139107139107139713906511;False
12132;1390713902;False
12144;1391071173906511;False
12155;1391071391071391071391082;False
12167;139071390610713906511;False
12168;139071391071392;False
12173;1717139713901071390713906511;False
12179;139712;False
12185;1390713901071390654;False
12199;131071713906511;False
12230;13910713910713901071397139108713108713906511;False
12234;13910713910713910871390108713906511;False
12258;1397139072;False
12260;13901071390610713906511;False
12271;1390610713910713906713906511;False
12339;1390810713906511;False
1235;1390717171713906511;False
12354;17139062;False
12371;131071713906511;False
12377;1390107139107137139713906511;False
12399;1397397397397397397397397397391072;False
12453;1717139713906511;False
12461;13901071390107137139010713906511;False
12471;13096511;False
12495;173906713906511;False
12535;139072;False
12551;13971391071390657139713906511;False
12600;1397139713910713910713902;False
12609;171391071390713906511;False
12621;13971306511;False
12626;139107139010713906511;False
12660;13971397139713906511;False
12661;1390713971371390654;False
12708;1397139067139071391071390713906511;False
12756;1391071372;False
12762;13107139065713906511;False
12790;139071713910713902;False
12798;1391071391071390108713906511;False
12806;1391071397139107139108713906511;False
12832;10396511;False
12838;13971372;False
12877;1391071391071390610713713906511;False
1288;139073973906511;False
12890;171391071390107139107139713906511;False
12929;1371371713713906511;False
12933;139107171391071713901071390108713906511;False
12938;1391087139107139713906511;False
12959;13107139713906511;False
12970;13971390713902;False
12992;139010713901071390713906511;False
13031;139071390713902;False
13032;171310713902;False
1305;13971390107139713906511;False
13051;1391071390713713906511;False
13087;1713960511;False
13108;1391071397137137139713906511;False
13120;19306511;False
13133;1971306511;False
13145;13905611;False
13174;139713972;False
13357;139107139010713906511;False
13370;13910713910713901087139108713906511;False
13371;139713971390713906511;False
13396;13971397139713910713906511;False
13420;171713713906572;False
13427;13713713713906511;False
13438;139713901071390713906511;False
13457;139107139071390654;False
1348;13910713907390739739073973973906511;False
13481;13978713906511;False
13488;131071390654;False
13490;139713971390610713906511;False
13498;139107139010713906511;False
13503;1390713902;False
13570;13971397139713906511;False
13626;1391071391071390108713906511;False
13645;1310717139010713906511;False
1366;139073906573906511;False
13668;13713910713906511;False
13688;1390107137139010713906511;False
13732;137137139713906511;False
13744;1391071390107139108713906511;False
13747;139107139010713906511;False
13759;13107139107139108713906511;False
13763;1390713902;False
13767;137139062;False
13778;137139713902;False
13875;13910713901071371390713906511;False
13894;13907139010713906511;False
13923;1397139713910713906511;False
1393;1390107139010713901071390108713906511;False
13948;1397139713910713906511;False
13954;139071392;False
13987;13971391087139107139108713906511;False
14000;139071391072;False
14022;137139107171713906511;False
14043;1390107139061071713906511;False
14050;13907390657139107139065713906511;False
14070;13713907139713906511;False
14076;1390713910713713713906511;False
14137;171391071713906511;False
14147;139072;False
14232;17139071390654;False
14276;13901071390671713906511;False
14279;1391071391071713713906511;False
14280;1390713902;False
14283;13712;False
14324;139712;False
14326;1391071391071391087139062;False
14342;13713971390713906511;False
14361;139107132;False
14393;1391071390713713906511;False
14473;137137137132;False
14500;139712;False
14503;17139107139010713713906511;False
14553;17139010713910713910713910872;False
1459;1390107139107139010713906511;False
14610;1390713971397139713906713906511;False
1464;1391071397139010713971397139107139713906511;False
14712;13910713910713910872;False
14714;13971391071390713906511;False
14724;1713971390654;False
