CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
4017,2,¢¤ª¡§¦¬,¢¤ª¡§¦¬,1.0,1.0,1.0,361003,73644.68034726534,,287358.3196527347
4018,2,ª«¨¢¤ª«¨¢¤¨¢¤ª¡§¦¬,ª¡§¦¬,0.2777777777777778,0.2777777777777778,0.5555555555555556,13143,10199.360849307634,,2943.6391506923665
4019,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,52328,133969.21991856256,,81641.21991856256
4020,2,¢¤ª¡£,¢¤ª¡§¦¬,0.5714285714285714,0.5714285714285714,0.5,1448,41154.38189759423,,39706.38189759423
4021,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,8134,9915.818076947478,,1781.8180769474784
4022,2,ª¡§¦¨£,ª¡§¦¬,0.6666666666666667,0.6666666666666667,0.5714285714285714,16187,10082.109643290778,,6104.890356709222
4023,2,ª£,ª¡§¦¬,0.19999999999999996,0.19999999999999996,0.16666666666666663,46,10144.930407263113,,10098.930407263113
4024,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4255,10124.11082968649,,5869.1108296864895
4025,2,¨¢¤ª¡§¦¬,ª¡§¦¬,0.625,0.625,0.625,49058,219514.55753162075,,170456.55753162075
4026,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,58821,160242.3881268058,,101421.3881268058
4027,2,ª«¨¢¤ª¡§¦¬,ª¡§¦¬,0.5,0.5,0.5555555555555556,4182,10081.3456775627,,5899.3456775627
4029,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,8538,10049.313409577875,,1511.313409577875
4030,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,8451,8903.633378378341,,452.63337837834115
4031,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,15291,9269.329068669049,,6021.670931330951
4032,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,16438,10034.256585826633,,6403.743414173367
4033,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,3070,10040.604829056158,,6970.6048290561575
4034,2,ª¡«¨¢¤ª¡§¦¬,ª¡§¦¬,0.4545454545454546,0.4545454545454546,0.5555555555555556,9898,10010.739911769353,,112.73991176935306
4036,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,2100,9980.635937780362,,7880.635937780362
4037,2,ª«¨¢¤ª¡§¦¬,ª¡§¦¬,0.5,0.5,0.5555555555555556,224174,173265.68529119928,,50908.314708800724
4038,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,7660,9953.925795081332,,2293.9257950813317
