CaseID;Prefix length;Groud truth;Predicted;Levenshtein;Damerau;Jaccard;Ground,truth,times;Predicted,times;RMSE;MAE
4017;2;¢¤ª¡§¦¬;¢¤ª¡§¦¬;1;1;1;361003;73644,68035;;287358,3197
4018;2;ª«¨¢¤ª«¨¢¤¨¢¤ª¡§¦¬;ª¡§¦¬;0,277777778;0,277777778;0,555555556;13143;10199,36085;;2943,639151
4019;2;ª¡§¦¬;ª¡§¦¬;1;1;1;52328;133969,2199;;81641,21992
4020;2;¢¤ª¡£;¢¤ª¡§¦¬;0,571428571;0,571428571;0,5;1448;41154,3819;;39706,3819
4021;2;ª¡§¦¬;ª¡§¦¬;1;1;1;8134;9915,818077;;1781,818077
4022;2;ª¡§¦¨£;ª¡§¦¬;0,666666667;0,666666667;0,571428571;16187;10082,10964;;6104,890357
4023;2;ª£;ª¡§¦¬;0,2;0,2;0,166666667;46;10144,93041;;10098,93041
4024;2;ª¡§¦¬;ª¡§¦¬;1;1;1;4255;10124,11083;;5869,11083
4025;2;¨¢¤ª¡§¦¬;ª¡§¦¬;0,625;0,625;0,625;49058;219514,5575;;170456,5575
4026;2;ª¡§¦¬;ª¡§¦¬;1;1;1;58821;160242,3881;;101421,3881
4027;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,555555556;4182;10081,34568;;5899,345678
4029;2;ª¡§¦¬;ª¡§¦¬;1;1;1;8538;10049,31341;;1511,31341
4030;2;ª¡§¦¬;ª¡§¦¬;1;1;1;8451;8903,633378;;452,6333784
4031;2;ª¡§¦¬;ª¡§¦¬;1;1;1;15291;9269,329069;;6021,670931
4032;2;ª¡§¦¬;ª¡§¦¬;1;1;1;16438;10034,25659;;6403,743414
4033;2;ª¡§¦¬;ª¡§¦¬;1;1;1;3070;10040,60483;;6970,604829
4034;2;ª¡«¨¢¤ª¡§¦¬;ª¡§¦¬;0,454545455;0,454545455;0,555555556;9898;10010,73991;;112,7399118
4036;2;ª¡§¦¬;ª¡§¦¬;1;1;1;2100;9980,635938;;7880,635938
4037;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,555555556;224174;173265,6853;;50908,31471
4038;2;ª¡§¦¬;ª¡§¦¬;1;1;1;7660;9953,925795;;2293,925795
4039;2;ª¡§¦¬;ª¡§¦¬;1;1;1;1084;9402,917388;;8318,917388
4040;2;ª¡«¨¢¤ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,3125;0,3125;0,555555556;308039;158013,2076;;150025,7924
4041;2;ª¡§¦¬;ª¡§¦¬;1;1;1;5156;9789,12661;;4633,12661
4042;2;¢¤ª¡§¦¬;¢¤ª¡§¦¬;1;1;1;140079;78143,55808;;61935,44192
4043;2;¢¤ª¨¢¤ª¡§¦¬;¢¤ª¡§¦¬;0,636363636;0,636363636;0,875;63080;74585,67089;;11505,67089
4044;2;ª¡§¦¬;ª¡§¦¬;1;1;1;3087;9636,947249;;6549,947249
4046;2;ª¡§¦¬;ª¡§¦¬;1;1;1;10507;9503,694359;;1003,305641
4047;2;ª¡§¦¬;ª¡§¦¬;1;1;1;11500;10232,90896;;1267,091043
4048;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,555555556;5015;10233,32709;;5218,327094
4049;2;¢¤ª¡§¦¬;¢¤ª¡§¦¬;1;1;1;268523;23588,5057;;244934,4943
4050;2;ª¡§¦¬;ª¡§¦¬;1;1;1;1775;10196,88854;;8421,888541
4051;2;ª¡§¦¬;ª¡§¦¬;1;1;1;9117;10173,10294;;1056,102943
4052;2;ª¡§¦¬;ª¡§¦¬;1;1;1;10610;10186,62555;;423,3744521
4053;2;ª¡§¦¬;ª¡§¦¬;1;1;1;46037;217665,6652;;171628,6652
