CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
4017,2,¢¤ª¡§¦¬,¢¤ª¡§¦¬,1.0,1.0,1.0,361003,111317.77477503229,,249685.2252249677
4018,2,ª«¨¢¤ª«¨¢¤¨¢¤ª¡§¦¬,ª¡§¦¬,0.2777777777777778,0.2777777777777778,0.5555555555555556,13143,10180.997255887864,,2962.0027441121365
4019,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,52328,160752.89437937815,,108424.89437937815
4020,2,¢¤ª¡£,¢¤ª¡§¦¬,0.5714285714285714,0.5714285714285714,0.5,1448,35445.09200933903,,33997.09200933903
4021,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,8134,10565.403697813812,,2431.403697813812
4022,2,ª¡§¦¨£,ª¡§¦¬,0.6666666666666667,0.6666666666666667,0.5714285714285714,16187,19264.986400957485,,3077.986400957485
4023,2,ª£,ª¡§¦¬,0.19999999999999996,0.19999999999999996,0.16666666666666663,46,19523.266550993863,,19477.266550993863
4024,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4255,19426.38897358162,,15171.38897358162
4025,2,¨¢¤ª¡§¦¬,ª¡§¦¬,0.625,0.625,0.625,49058,244002.77882464067,,194944.77882464067
4026,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,58821,220704.62943715678,,161883.62943715678
4027,2,ª«¨¢¤ª¡§¦¬,ª¡§¦¬,0.5,0.5,0.5555555555555556,4182,9545.163380883703,,5363.163380883703
4029,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,8538,9350.239423791476,,812.2394237914759
4030,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,8451,17906.59221675823,,9455.592216758228
4031,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,15291,10387.798111008477,,4903.201888991523
4032,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,16438,10042.551986403301,,6395.448013596699
4033,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,3070,17470.020990566645,,14400.020990566645
4034,2,ª¡«¨¢¤ª¡§¦¬,ª¡§¦¬,0.4545454545454546,0.4545454545454546,0.5555555555555556,9898,16075.802400174542,,6177.802400174542
4036,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,2100,17312.652756744603,,15212.652756744603
4037,2,ª«¨¢¤ª¡§¦¬,ª¡§¦¬,0.5,0.5,0.5555555555555556,224174,231355.59004138023,,7181.59004138023
4038,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,7660,9883.965857232537,,2223.965857232537
4039,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,1084,15417.86418408302,,14333.86418408302
4040,2,ª¡«¨¢¤ª«¨¢¤ª¡§¦¬,ª¡§¦¬,0.3125,0.3125,0.5555555555555556,308039,175032.4549490565,,133006.5450509435
4041,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,5156,10949.834686280241,,5793.834686280241
4042,2,¢¤ª¡§¦¬,¢¤ª¡§¦¬,1.0,1.0,1.0,140079,112506.20810830158,,27572.79189169842
4043,2,¢¤ª¨¢¤ª¡§¦¬,¢¤ª¡§¦¬,0.6363636363636364,0.6363636363636364,0.875,63080,109573.81163442311,,46493.81163442311
4044,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,3087,12430.63049691766,,9343.63049691766
4046,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,10507,9555.7674863743,,951.2325136257004
4047,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,11500,11474.313482660207,,25.686517339792772
4048,2,ª«¨¢¤ª¡§¦¬,ª¡§¦¬,0.5,0.5,0.5555555555555556,5015,17991.4905987369,,12976.490598736898
4049,2,¢¤ª¡§¦¬,¢¤ª¡§¦¬,1.0,1.0,1.0,268523,10088.913509005803,,258434.0864909942
4050,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,1775,17894.351110946845,,16119.351110946845
4051,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,9117,19643.579907706804,,10526.579907706804
4052,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,10610,10165.551315056382,,444.448684943618
4053,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,46037,213534.4263151401,,167497.4263151401
4054,2,ª¡«¨¢¤ª¡§¦¬,ª¡§¦¬,0.4545454545454546,0.4545454545454546,0.5555555555555556,4418,9696.974906717758,,5278.974906717758
4055,2,¢¤ª¡§¦¬,¢¤ª¡§¦¬,1.0,1.0,1.0,410366,102124.06888176737,,308241.93111823266
4056,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,1743,17079.49762330257,,15336.49762330257
4057,2,¢¤ª¡§¦¬,¢¤ª¡§¦¬,1.0,1.0,1.0,70100,113038.81011671806,,42938.81011671806
4058,2,¨¤ª¡§¦¬,¤ª¡§¦¬,0.8571428571428572,0.8571428571428572,0.8571428571428571,3544,19887.725119827788,,16343.725119827788
4059,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,1604,18578.32002633346,,16974.32002633346
4060,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,5404,11637.629959928858,,6233.629959928858
4063,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,2379,17009.46501318366,,14630.46501318366
4064,2,¤ª¨¤ª¨¤ª¨¤ª¨¤¨¤ª¡§¦¨¢¤ª¡§¦¬,¢¤ª¡§¦¬,0.2592592592592593,0.2592592592592593,0.875,665971,14927.82357941241,,651043.1764205876
4065,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,25330,19020.262954567486,,6309.737045432514
4066,2,ª¡§£,ª¡§¦¬,0.6,0.6,0.5,132,17751.831962173786,,17619.831962173786
4067,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,7925,18080.78655994931,,10155.786559949309
4068,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4213,14601.953139576166,,10388.953139576166
4069,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,5101,17713.999818255554,,12612.999818255554
4070,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,5121,18723.123333479958,,13602.123333479958
4071,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,9390,18628.800289143277,,9238.800289143277
4072,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,22577,14707.605561077551,,7869.394438922449
4074,2,ª¡¨¢¤ª¡§¦¬,ª¡§¦¬,0.5,0.5,0.625,6707,10177.105843247626,,3470.1058432476257
4075,2,ª«¨¢¤ª¡§¦¬,ª¡§¦¬,0.5,0.5,0.5555555555555556,44462,198923.18104034077,,154461.18104034077
4076,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,7690,10659.665194420897,,2969.665194420897
4077,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,5979,11115.784293921579,,5136.784293921579
4078,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,55236,196462.075241768,,141226.075241768
4081,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4728,16855.913464110123,,12127.913464110123
4082,2,ª«¨¢¤ª¡§¦¬,ª¡§¦¬,0.5,0.5,0.5555555555555556,3108,17280.096547085235,,14172.096547085235
4083,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,47595,204320.1889940817,,156725.1889940817
4084,2,£,ª¡§¦¬,0.0,0.0,0.0,286,16952.104463902226,,16666.104463902226
4085,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,2718,10100.55413146713,,7382.55413146713
4086,2,«¨¢¤«¨¢¤ª¡§¦¬,ª¡§¦¬,0.3846153846153846,0.3846153846153846,0.5555555555555556,62516,9625.021257738135,,52890.97874226187
4087,2,ª¨¢¤ª¡§¦¬,ª¡§¦¬,0.5555555555555556,0.5555555555555556,0.625,65366,226844.51510140023,,161478.51510140023
4088,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,46586,226967.80693291753,,180381.80693291753
4089,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,50396,290654.32158413774,,240258.32158413774
4090,2,ª¨¢¤ª¨¢¤ª¡§¦¥,ª¡§¦¬,0.3076923076923077,0.3076923076923077,0.4444444444444444,55931,9453.74553448669,,46477.25446551331
4091,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,12023,9184.179296258488,,2838.8207037415123
4092,2,ª¡§£,ª¡§¦¬,0.6,0.6,0.5,905,16333.283517996431,,15428.283517996431
4093,2,ª¡«¨¢¤ª¡«¨¢¤ª¡¨¢¤ª¨¢¤ª¡§¦¬,ª¡§¦¬,0.1923076923076923,0.1923076923076923,0.5555555555555556,145160,138537.46774166226,,6622.532258337742
4094,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,5927,18279.02345357492,,12352.023453574919
4095,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,3678,18069.13094354207,,14391.13094354207
4096,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,7883,10501.80518335667,,2618.8051833566697
4097,2,¢¤ª¡§¦¬,¢¤ª¡§¦¬,1.0,1.0,1.0,71753,9650.588474818012,,62102.41152518199
4098,2,ª¡§¦¥,ª¡§¦¬,0.8,0.8,0.6666666666666666,1568,17726.46027098538,,16158.460270985379
4099,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,1950,17607.933128538847,,15657.933128538847
4100,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,52951,195186.94002084827,,142235.94002084827
4101,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,3239,16054.62683730139,,12815.62683730139
4102,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,2119,16991.0101259803,,14872.010125980301
4103,2,ª¨¢¤ª¡§¦¬,ª¡§¦¬,0.5555555555555556,0.5555555555555556,0.625,46578,221897.15345744425,,175319.15345744425
4104,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,40949,220451.73332289254,,179502.73332289254
4105,2,ª«¨¢¤ª«©£,ª¡§¦¬,0.11111111111111116,0.11111111111111116,0.09090909090909094,1900,16731.730943837974,,14831.730943837974
4106,2,ª«¨¢¤ª«¨¢¤ª¡§¦¬,ª¡§¦¬,0.33333333333333337,0.33333333333333337,0.5555555555555556,8198,16514.769513820404,,8316.769513820404
4107,2,¢¤«¨¢¤ª«¨£,¢¤ª¡§¦¬,0.19999999999999996,0.19999999999999996,0.30000000000000004,534706,105321.80608226155,,429384.19391773845
4108,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,46205,224241.49402313423,,178036.49402313423
4109,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,54485,194273.3330196877,,139788.3330196877
4110,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,2955,14705.631680649385,,11750.631680649385
4111,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,5621,10803.500303785702,,5182.500303785702
4113,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,13546,8827.978884974284,,4718.021115025716
4114,2,ª¡«¨¢¤ª¡«¨¢¤ª¡§¦¬,ª¡§¦¬,0.2941176470588235,0.2941176470588235,0.5555555555555556,211378,243576.65958794003,,32198.659587940027
4115,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,5043,17723.332340397545,,12680.332340397545
4116,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,11555,8857.695676585732,,2697.304323414268
4117,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,44827,222368.86940458693,,177541.86940458693
4118,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,3191,9832.711955181147,,6641.711955181147
4119,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,11406,9555.76833280673,,1850.2316671932695
4120,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,3433,16092.855353434985,,12659.855353434985
4121,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,64240,10302.586428111561,,53937.413571888435
4122,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4928,16951.82489936229,,12023.824899362291
4123,2,ª«¨¢¤ª¡§¦¥,ª¡§¦¬,0.4,0.4,0.4,5199,16910.25079858728,,11711.25079858728
4124,2,¢¤ª¡§¦¬,¢¤ª¡§¦¬,1.0,1.0,1.0,3538,31233.383775090377,,27695.383775090377
4125,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,6567,9621.271682989482,,3054.2716829894816
4126,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,56995,47029.879071706426,,9965.120928293574
4127,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,7360,10184.224702745756,,2824.224702745756
4128,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,2071,15636.880993879933,,13565.880993879933
4129,2,¢¤ª¡§¦¬,¢¤ª¡§¦¬,1.0,1.0,1.0,106961,76243.65729229688,,30717.342707703123
4130,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,6030,16111.120156098212,,10081.120156098212
4131,2,ª«¨¢¤ª¡§¦¬,ª¡§¦¬,0.5,0.5,0.5555555555555556,25193,13328.571968490467,,11864.428031509533
4132,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4801,10648.861451795598,,5847.8614517955975
4133,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4050,10069.614849588053,,6019.614849588053
4134,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,2748,14792.187619165015,,12044.187619165015
4135,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,132337,182425.22917156512,,50088.22917156512
4136,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,45393,180877.7666498285,,135484.7666498285
4137,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,55459,243304.50568485254,,187845.50568485254
4138,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,2441,17692.190882086474,,15251.190882086474
4139,2,¢¤ª¡§¦¬,¢¤ª¡§¦¬,1.0,1.0,1.0,62168,9531.269192535356,,52636.73080746464
4140,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,82731,226905.2567854852,,144174.2567854852
4141,2,ª£,ª¡§¦¬,0.19999999999999996,0.19999999999999996,0.16666666666666663,5872,154494.70865841737,,148622.70865841737
4142,2,ª¡«¨¢¤ª¡«¨¢¨¢¨¢¤ª¡§¦¬,ª¡§¦¬,0.23809523809523814,0.23809523809523814,0.5555555555555556,214153,254350.7296779515,,40197.72967795149
4143,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,51768,232393.10894627302,,180625.10894627302
4144,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,46438,198989.39841673823,,152551.39841673823
4145,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,41800,229421.516121236,,187621.516121236
4146,2,ª¡§£,ª¡§¦¬,0.6,0.6,0.5,777,16610.01178377672,,15833.011783776721
4147,2,ª¡§£,ª¡§¦¬,0.6,0.6,0.5,751,13283.00173929166,,12532.00173929166
4148,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,2758,16524.229968178337,,13766.229968178337
4149,2,ª¡§¦¥,ª¡§¦¬,0.8,0.8,0.6666666666666666,2688,18023.702914991605,,15335.702914991605
4150,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,40865,208066.42106014717,,167201.42106014717
4151,2,ª¡«¨¢¤ª¨¢¤ª¡§¦¬,ª¡§¦¬,0.33333333333333337,0.33333333333333337,0.5555555555555556,48248,183756.16895712097,,135508.16895712097
4152,2,ª¡§¦¥,ª¡§¦¬,0.8,0.8,0.6666666666666666,1864,17704.995953734473,,15840.995953734473
4153,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4159,17693.55605667812,,13534.55605667812
4154,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,2868,17610.3677100471,,14742.3677100471
4155,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4149,17609.502897940863,,13460.502897940863
4156,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,12611,17549.046824341796,,4938.046824341796
4158,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4355,17256.53065902806,,12901.53065902806
4162,2,ª¡§¦¥,ª¡§¦¬,0.8,0.8,0.6666666666666666,1165,15934.894858749354,,14769.894858749354
4163,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,5742,14792.462588786042,,9050.462588786042
4164,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,5079,17382.198063621323,,12303.198063621323
4165,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4137,17135.416093560092,,12998.416093560092
4166,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,3979,16995.230679917127,,13016.230679917127
4174,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,6118,16114.38545057764,,9996.38545057764
4175,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4953,15703.419530925314,,10750.419530925314
4177,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,47901,192855.724599184,,144954.724599184
4178,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,1623,17606.717893406338,,15983.717893406338
4179,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4567,17545.52179602509,,12978.521796025088
4180,2,¢¤ª¡§¦¥,¢¤ª¡§¦¬,0.8571428571428572,0.8571428571428572,0.75,85547,106358.6573938044,,20811.657393804402
4181,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,11179,8805.943830427314,,2373.0561695726865
4182,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,44437,227543.20154205235,,183106.20154205235
4183,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,43466,178654.2145312829,,135188.2145312829
4184,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,2498,17374.911489583013,,14876.911489583013
4185,2,ª¡¨¢¤ª¡§¦¬,ª¡§¦¬,0.5,0.5,0.625,8268,19159.358163239835,,10891.358163239835
4186,2,ª«¨¢¤ª¡§¦¬,ª¡§¦¬,0.5,0.5,0.5555555555555556,8130,9881.450260048783,,1751.450260048783
4187,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4085,17129.11839443857,,13044.11839443857
4189,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,46414,227206.51079369895,,180792.51079369895
4190,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,45039,207755.8836228724,,162716.8836228724
4191,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,3242,15878.721975086975,,12636.721975086975
4192,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,1660,9601.099868060106,,7941.099868060106
4193,2,ª«¨¢¤ª«¨¢¤ª¡§¦¥,ª¡§¦¬,0.2666666666666667,0.2666666666666667,0.4,2843,16239.65212987447,,13396.65212987447
4194,2,ª¡£,ª¡§¦¬,0.4,0.4,0.33333333333333326,80284,69290.1824686226,,10993.817531377397
4195,2,ª«¨¢¤ª¡§¦¬,ª¡§¦¬,0.5,0.5,0.5555555555555556,39393,195323.2352310402,,155930.2352310402
4196,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,4442,15943.065833758723,,11501.065833758723
4197,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,2774,16743.562376352944,,13969.562376352944
4198,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,5753,10467.772916457248,,4714.772916457248
4199,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,47923,217956.0807474215,,170033.0807474215
42,2,ª«¨¢¤ª¡§¦¬,ª¡§¦¬,0.5,0.5,0.5555555555555556,10222,9553.300619514766,,668.6993804852336
4200,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,118238,137443.61126153992,,19205.611261539918
4201,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,47438,195234.73128874495,,147796.73128874495
4202,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,1626,13668.397660728979,,12042.397660728979
4203,2,ª«¨¢¤ª«¨¢¤ª¡§¦¬,ª¡§¦¬,0.33333333333333337,0.33333333333333337,0.5555555555555556,48703,205133.9655778364,,156430.9655778364
4204,2,ª¢¨¤ª¡§¦¬,ª¡§¦¬,0.5555555555555556,0.5555555555555556,0.625,1688,15435.485939936827,,13747.485939936827
4205,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,12464,12518.759832402864,,54.75983240286405
4206,2,ª¡§¦¬,ª¡§¦¬,1.0,1.0,1.0,10090,13667.371059109577,,3577.371059109577
