CaseID;Prefix length;Groud truth;Predicted;Levenshtein;Damerau_Levenshtein;Jaccard;Ground truth times;Predicted times;MAE;MAE_days
4017;2;¢¤ª¡§¦¬;¢¤ª¡§¦¬;1,0;1,0;1,0;361003;186895,5213041738;174107,4786958262;2,015132855275766
4018;2;ª«¨¢¤ª«¨¢¤¨¢¤ª¡§¦¬;ª¡§¦¬;0,2777777777777778;0,2777777777777778;0,5555555555555556;13143;33164,74258183508;20021,742581835082;0,23173313173420235
4019;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;52328;174118,2865213566;121790,28652135661;1,4096097977008868
4020;2;¢¤ª¡£;¢¤ª¡§¦¬;0,5714285714285714;0,5714285714285714;0,5;1448;54240,44770990612;52792,44770990612;0,6110237003461356
4021;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;8134;12927,978715518424;4793,978715518424;0,055485864762944724
4022;2;ª¡§¦¨£;ª¡§¦¬;0,6666666666666667;0,6666666666666667;0,5714285714285714;16187;9222,051585257715;6964,9484147422845;0,080612828874332
4023;2;ª£;ª¡§¦¬;0,19999999999999996;0,19999999999999996;0,16666666666666663;46;9265,662444298596;9219,662444298596;0,10670905606827079
4024;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;4255;10464,166026032613;6209,166026032613;0,07186534752352562
4025;2;¨¢¤ª¡§¦¬;ª¡§¦¬;0,625;0,625;0,625;49058;132974,95516190064;83916,95516190064;0,9712610551145907
4026;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;58821;174657,6803035962;115836,6803035962;1,3407023183286597
4027;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,5555555555555556;4182;21395,91680435194;17213,91680435194;0,19923514819851781
4029;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;8538;36573,88897835884;28035,88897835884;0,3244894557680421
4030;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;8451;15133,65418112971;6682,65418112971;0,0773455345038161
4031;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;15291;11133,424671288856;4157,575328711144;0,048120084823045646
4032;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;16438;22000,792655044632;5562,792655044632;0,06438417424820175
4033;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;3070;7350,596252653813;4280,596252653813;0,049543938109419136
4034;2;ª¡«¨¢¤ª¡§¦¬;ª¡§¦¬;0,4545454545454546;0,4545454545454546;0,5555555555555556;9898;6674,51608752042;3223,48391247958;0,03730884157962477
4036;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;2100;7767,637501536253;5667,637501536253;0,0655976562677807
4037;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,5555555555555556;224174;189719,984825745;34454,01517425501;0,39877332377609964
4038;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;7660;18611,95870215265;10951,95870215265;0,1267587812749149
4039;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;1084;6586,49823927822;5502,49823927822;0,06368632221386829
4040;2;ª¡«¨¢¤ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,3125;0,3125;0,5555555555555556;308039;171512,59107936663;136526,40892063337;1,5801667699147381
4041;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;5156;10556,272263833545;5400,272263833545;0,06250315120177714
4042;2;¢¤ª¡§¦¬;¢¤ª¡§¦¬;1,0;1,0;1,0;140079;227266,80531962268;87187,80531962268;1,0091181171252626
4043;2;¢¤ª¨¢¤ª¡§¦¬;¢¤ª¡§¦¬;0,6363636363636364;0,6363636363636364;0,875;63080;216076,80413732096;152996,80413732096;1,7707963441819554
4044;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;3087;12168,103190782354;9081,103190782354;0,1051053610044254
4046;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;10507;23251,463802179416;12744,463802179416;0,14750536808078027
4047;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;11500;15644,382078079938;4144,382078079938;0,04796738516296224
4048;2;ª«¨¢¤ª¡§¦¬;ª¡§¦¬;0,5;0,5;0,5555555555555556;5015;7262,2947286284425;2247,2947286284425;0,02601035565542179
4049;2;¢¤ª¡§¦¬;¢¤ª¡§¦¬;1,0;1,0;1,0;268523;44540,45635984353;223982,54364015648;2,5923905513907
4050;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;1775;7981,0348464263925;6206,0348464263925;0,07182910701882399
4051;2;ª¡§¦¬;ª¡§¦¬;1,0;1,0;1,0;9117;9267,926288293702;150,92628829370187;0,0017468320404363644
